encoder.first_conv.conv.weight,network.encoder.first_conv.conv.weight
encoder.blocks.3.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block3.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.3.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block3.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.3.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block3.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.3.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block3.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.3.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block3.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.3.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block3.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.3.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block3.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.3.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block3.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.3.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block3.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.3.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block3.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.3.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block3.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.4.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block4.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.4.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block4.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.4.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block4.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.4.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block4.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.4.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block4.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.4.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block4.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.4.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block4.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.4.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block4.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.4.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block4.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.4.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block4.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.4.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block4.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.4.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block4.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.4.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block4.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.4.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block4.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.4.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block4.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.5.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block5.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.5.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block5.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.5.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block5.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.5.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block5.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.5.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block5.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.5.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block5.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.5.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block5.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.5.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block5.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.5.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block5.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.5.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block5.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.5.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block5.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.5.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block5.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.5.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block5.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.5.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block5.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.5.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block5.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.6.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block6.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.6.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block6.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.6.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block6.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.6.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block6.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.6.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block6.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.6.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block6.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.6.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block6.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.6.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block6.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.6.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block6.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.6.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block6.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.6.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block6.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.6.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block6.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.6.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block6.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.6.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block6.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.6.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block6.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.7.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block7.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.7.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block7.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.7.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block7.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.7.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block7.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.7.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block7.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.7.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block7.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.7.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block7.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.7.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block7.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.7.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block7.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.7.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block7.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.7.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block7.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.7.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block7.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.7.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block7.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.7.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block7.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.7.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block7.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.8.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block8.mobile_inverted_conv.inverted_bottleneck.conv.weight
