encoder.first_conv.conv.weight,network.encoder.first_conv.conv.weight
encoder.blocks.8.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block8.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.8.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block8.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.8.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block8.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.8.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block8.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.8.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block8.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.8.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block8.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.8.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block8.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.8.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block8.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.8.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block8.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.8.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block8.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.8.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block8.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.8.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block8.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.8.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block8.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.8.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block8.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.9.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block9.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.9.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block9.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.9.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block9.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.9.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block9.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.9.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block9.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.9.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block9.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.9.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block9.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.9.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block9.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.9.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block9.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.9.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block9.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.9.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block9.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.9.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block9.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.9.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block9.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.9.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block9.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.9.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block9.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.10.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block10.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.10.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block10.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block10.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block10.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block10.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block10.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.11.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block11.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.11.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block11.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.11.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block11.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.11.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block11.mobile_inverted_conv.point_linear.bn.beta
